SAMPLE_ID	PROBESET_ID	CHROM	CHROM_POS	COPY_NUMBER
TST003	CN_473963	1	61723	0.72209
TST003	CN_473964	1	61796	0.021411
TST003	CN_473965	1	61811	0.216686
TST003	CN_473981	1	62908	0.426062
TST003	CN_473982	1	62925	0.631601
TST003	CN_497981	1	72764	-0.023861
TST003	CN_502615	1	85924	0.312049
TST003	CN_502613	1	85986	0.079148
TST003	CN_502614	1	86312	0.303224
TST003	CN_502616	1	86329	0.005847
TST003	CN_502843	1	98590	0.36411
TST003	CN_466171	1	228694	0.995166
TST003	CN_468414	1	229063	0.185784
TST003	CN_468412	1	229146	1.108965
TST003	CN_468413	1	229161	0.605442
TST003	CN_470565	1	229607	0.183149
TST003	CN_468424	1	235658	-0.166027
TST003	CN_468425	1	235716	-0.710574
TST003	CN_460512	1	356431	0.150269
TST003	CN_460513	1	356530	1.193647
